"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"14D","1414 DEGREES LIMITED","Capital Goods","12/09/2018",10274273
"1AD","ADALTA LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","22/08/2016",8433630
"1AE","AURORA ENERGY METALS LIMITED","Materials","18/05/2022",10695824
"1AG","ALTERRA LIMITED","Food, Beverage & Tobacco","16/05/2008",6965525
"1CG","ONE CLICK GROUP LIMITED","Capital Goods","28/04/2017",6173130
"1MC","MORELLA CORPORATION LIMITED","Materials","08/01/2001",42690063
"1ST","1ST GROUP LIMITED","Health Care Equipment & Services","09/06/2015",7084956
"1TT","THRIVE TRIBE TECHNOLOGIES LIMITED","Software & Services","09/07/2015",8508330
"29M","29METALS LIMITED","Materials","02/07/2021",383255063
"360","LIFE360 INC.","Software & Services","10/05/2019",1398638648
"3DA","AMAERO INTERNATIONAL LTD","Capital Goods","06/12/2019",45852973
"3DP","POINTERRA LIMITED","Software & Services","27/03/2008",60324752
"3MF","3D METALFORGE LIMITED","Commercial & Professional Services","02/03/2021","SUSPENDED"
"3PL","3P LEARNING LIMITED..","Consumer Services","09/07/2014",309662270
"4DS","4DS MEMORY LIMITED","Semiconductors & Semiconductor Equipment","09/12/2010",42446124
"4DX","4DMEDICAL LIMITED","Health Care Equipment & Services","07/08/2020",231238823
"5EA","5E ADVANCED MATERIALS INC.","Materials","01/03/2022",262729182
"5GG","PENTANET LIMITED","Telecommunication Services","29/01/2021",26160905
"88E","88 ENERGY LIMITED","Energy","20/01/2000",140755078
"8CO","8COMMON LIMITED","Software & Services","27/08/2014",17031213
"8IH","8I HOLDINGS LTD","Financial Services","17/12/2014",11435392
"8VI","8VI HOLDINGS LIMITED","Consumer Services","16/12/2015",13411655
"92E","92 ENERGY LIMITED","Energy","15/04/2021",34757474
"A11","ATLANTIC LITHIUM LIMITED","Materials","26/09/2022",362498788
"A1G","AFRICAN GOLD LTD.","Materials","14/02/2019",9142805
"A1M","AIC MINES LIMITED","Materials","04/11/1993",184889757
"A1N","ARN MEDIA LIMITED","Media & Entertainment","07/05/1992",294666863
"A2B","A2B AUSTRALIA LIMITED","Transportation","14/12/1999",192756786
"A2M","THE A2 MILK COMPANY LIMITED","Food, Beverage & Tobacco","31/03/2015",3537683449
"A3D","AURORA LABS LIMITED","Capital Goods","16/08/2016",5407777
"A4N","ALPHA HPA LIMITED","Materials","22/10/2007",977898930
"A8G","AUSTRALASIAN METALS LIMITED","Materials","13/05/2021",7296869
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","Food, Beverage & Tobacco","10/08/2001",880039451
"AAJ","ARUMA RESOURCES LIMITED","Materials","23/07/2010",8436680
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","Food, Beverage & Tobacco","07/01/2004",3661194
"AAR","ASTRAL RESOURCES NL","Materials","13/11/1986",50308436
"AAU","ANTILLES GOLD LIMITED","Materials","25/11/1993",23842013
"ABA","AUSWIDE BANK LTD","Banks","19/09/1994",243763653
"ABB","AUSSIE BROADBAND LIMITED","Telecommunication Services","16/10/2020",675018326
"ABC","ADBRI LIMITED","Materials","31/05/1962",1522257835
"ABE","AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED","Financial Services","06/12/2021",14931613
"ABP","ABACUS PROPERTY GROUP","Equity Real Estate Investment Trusts (REITs)","14/11/2002",2323509846
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","Automobiles & Components","28/05/2002",12901876
"ABX","ABX GROUP LIMITED","Materials","24/12/2009",23477035
"ABY","ADORE BEAUTY GROUP LIMITED","Consumer Discretionary Distribution & Retail","23/10/2020",77473582
"AC8","AUSCANN GROUP HOLDINGS LTD","Pharmaceuticals, Biotechnology & Life Sciences","03/05/1989","SUSPENDED"
"ACB","A-CAP ENERGY LIMITED","Energy","19/05/2006",54227144
"ACE","ACUSENSUS LIMITED.","Software & Services","12/01/2023",79979084
"ACF","ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED","Capital Goods","27/06/2008",198350332
"ACL","AUSTRALIAN CLINICAL LABS LIMITED","Health Care Equipment & Services","14/05/2021",670088930
"ACP","AUDALIA RESOURCES LIMITED","Materials","06/07/2011",7613498
"ACQ","ACORN CAPITAL INVESTMENT FUND LIMITED","Not Applic","01/05/2014",82984035
"ACR","ACRUX LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","29/09/2004",12967896
"ACS","ACCENT RESOURCES NL","Materials","26/08/2005",5204400
"ACU","ACUMENTIS GROUP LIMITED","Real Estate Management & Development","05/12/2003",13090476
"ACW","ACTINOGEN MEDICAL LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","16/10/2007",74466338
"AD1","AD1 HOLDINGS LIMITED","Media & Entertainment","23/06/2016",3290276
"AD8","AUDINATE GROUP LIMITED","Technology Hardware & Equipment","30/06/2017",718753808
"ADA","ADACEL TECHNOLOGIES LIMITED","Software & Services","27/02/1998",43067119
"ADC","ACDC METALS LTD","Materials","17/01/2023",6218241
"ADD","ADAVALE RESOURCES LIMITED","Energy","06/02/1992",12988575
"ADG","ADELONG GOLD LIMITED","Materials","21/03/2007",4270578
"ADH","ADAIRS LIMITED","Consumer Discretionary Distribution & Retail","17/06/2015",228427296
"ADN","ANDROMEDA METALS LIMITED","Materials","17/09/1996",121300566
"ADO","ANTEOTECH LTD","Pharmaceuticals, Biotechnology & Life Sciences","07/04/2000",88147357
"ADR","ADHERIUM LIMITED","Health Care Equipment & Services","26/08/2015",14989315
"ADS","ADSLOT LTD.","Software & Services","17/12/1987",8677719
"ADT","ADRIATIC METALS PLC","Materials","01/05/2018",883606226
"ADV","ARDIDEN LTD","Materials","25/10/2005",18818347
"ADX","ADX ENERGY LTD","Energy","29/01/1987",25271497
"ADY","ADMIRALTY RESOURCES NL.","Materials","01/12/1983",10428633
