Company,ASX Code,Cap Raise Price,Raise Amount,Bids Due,Free Options,Ratio,Strike,Expiry (Years),Lead Manager,expiery date
Payright Limited,PYR,0.045,2.9M,06/01/2023 12:00,,,,,Henslow,
Openn Negotiation Limited,OPN,0.068,2M+,17/01/2023 15:00,2,0.5,0.1,2,Euroz Hartleys,
Cyclone Metals Ltd,CLE,0.0025,1.35M,17/01/2023 17:00,,,,,Empire Capital Partners,
Black Cat Syndicate Limited,BC8,0.4,12M,18/01/2023 17:00,,,,,Shaw and Partners,
Pearl Global Limited (T2) (ASX: ETR new code),ETR,0.015,6.8M,23/11/2022 10:00,,,,,Bell Potter Securities,
Gateway Mining Limited,GML,0.062,2.5M,23/01/2023 17:00,3,0.333333333,0.124,3,JP Equity Holdings,
Sprintex Ltd,SIX,1,2M-$3M,27/01/2023 16:15,,,,,,
Native Mineral Resources Holdings Limited,NMR,0.09,1M,24/01/2023 17:00,2,0.5,0.2,1.432876712,,30/6/2024 17:00
Kleos Space S.A.,KSS,0.2,5M,30/01/2023 12:00,,,,,River Investment Management,
Simble Solutions LTD,SIS,0.01,1.3m,30/01/2023 17:00,1,1,0.04,1.528767123,Ignite Equity,10/8/2024 17:00
Alice Queen Limited,AQX,0.0015,"500,000",31/01/2023 17:00,2,0.5,0.008,3,Cadmon Advisory,
Auteco Minerals Ltd,AUT,0.05,8m,31/01/2023 17:00,,,,,Canaccord Genuity,
Great Southern Mining Limited,GSN,0.024,1.5m-$3m,31/01/2023 14:00,,,,,Euroz Hartleys,
Acumentis Group Limited,ACU,0.07,3M,01/02/2023 17:00,,,,,Enrizen Capital,
Kneomedia Limited,KNM,0.01,1.5M,02/02/2023 17:00,2,0.5,0.025,1.868493151,,15/12/2024 17:00
Stemcell United Ltd,BP8,0.006,1.025m,07/02/2023 17:00,,,,,,
Strickland Metals Limited,STK,0.032,3M,01/02/2023 17:00,,,,,,
Siren Gold Limited,SNG,0.15,2M,01/02/2023 17:00,,,,,Morgans Corporate,
DroneShield Limited,DRO,0.3,9M-$11M,02/02/2023 14:00,,,,,Bell Potter Securities + Peloton Capital,
88 Energy Limited,88E,0.0095,9-12m,02/02/2023 17:00,,,,,Euroz Hartleys,
Lode Resources Ltd,LDR,0.3,4.44M,02/02/2023 15:30,3,0.333333333,0.24,1.534417808,DealAccess (PAC Partners),15/8/2024 17:00
Cyprium Metals Limited - Tranche2,CYM,0.11,25M,03/02/2023 14:00,1,1,0.15,2,Canaccord Genuity +  Euroz Hartleys Limited + Evolution Capital,
AML3D Limited,AL3,0.072,3M,06/02/2023 11:00,,,,,Taylor Collison,
Cyprium Metals Limited - Tranche1,CYM,0.11,25M,03/02/2023 14:00,1,1,0.15,2,Canaccord Genuity +  Euroz Hartleys Limited + Evolution Capital,
AIC Mines Limited,A1M,0.45,30M,06/02/2023 15:00,,,,,MST Financial Services,
Cardiex Limited,CDX,0.3,4.5M,08/02/2023 14:00,2,0.5,0.5,1,River Investment Management + MST Financial Services,
Anteris Technologies,AVR,24,24M,08/02/2023 12:00,1,1,29,2,Evolution Capital,
West Wits Mining Limited,WWI,0.014,1.5M,08/02/2023 16:20,,,,,Canaccord Genuity,
Silver Mines Limited,SVL,0.16,12M,08/02/2023 17:00,,,,,Canaccord Genuity,
Burgundy Diamond Mines Limited,BDM,0.25,231M,30/03/2023 16:00,,,,,Bell Potter + Aitken Mount,
Greater Western Exploration Limited,GTE,0.04,2.8M,29/03/2023 16:00,,,,,Euroz Hartleys + Peloton Captital,
HMC Capital Limited,HMC,3.5,125M,29/03/2023 18:00,,,,,J.P. Morgan +  Macquarie Capital,
HealthCo Healthcare & Wellness REIT,HCW,1.35,320M,30/03/2023 12:00,,,,,,
Sarama Resources Limited - Tranche 1,SRR,0.1,1.5M,31/03/2023 17:00,2,0.5,0.15,3,Euroz Hartleys,
Inventis Limited,IVT,0.058,1.2M,18/04/2023 17:00,,,,,,
Peako Limited,PKO,0.01,1.5M,31/03/2023 17:00,2,0.5,0.025,2.210958904,Mahe Capital,15/6/2025 17:00
