key,name,cap,document_date,url,header,cash,cash_unit,debt,debt_unit
QUE,QUESTE COMMUNICATIONS LIMITED,649736,2023-07-12,https://announcements.asx.com.au/asxpdf/20230712/pdf/05rl3wyllklhg5.pdf,Quarterly Activities & Cash Flow Report - 30 June 2023,11,,Unused,
ROO,ROOTS SUSTAINABLE AGRICULTURAL TECHNOLOGIES LTD,693611,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5qh4d3p283n.pdf,Quarterly Activities Report & Appendix 4C,15,US$’000,411,A$’000
MBX,MY FOODIE BOX LIMITED,1014980,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5wrr29p9p7j.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,3,$A’000,884,$A’000
MSI,MULTISTACK INTERNATIONAL LIMITED,1090431,2023-08-02,https://announcements.asx.com.au/asxpdf/20230802/pdf/05s7zjqsd7rhwl.pdf,Update to Quarterly Appendix 4C Cash Flow Report,"1,018,510",$A,"3,818,172",$A
TSN,THE SUSTAINABLE NUTRITION GROUP LTD,1266866,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4x0vflr6br0.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,*Note:,$A’000,"2,986",$A’000
RPG,RAPTIS GROUP LIMITED,1269727,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rzfl3n7d9qhh.pdf,Quarterly Appendix 4C Cash Flow Report,"260,464",$A,7.5,$A
AJY,ASAPLUS RESOURCES LIMITED,1360000,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4y5xk2w5n47.pdf,Quarterly Cash Flow Report,"90,497",$A,Unused,$A
KLR,KAILI RESOURCES LIMITED,1474004,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s27dtv81r0xs.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,465,$A’000,"3,788",$A’000
OAK,OAKRIDGE INTERNATIONAL LIMITED,1496024,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2nwsgdlxv2g.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"1,141",$A’000,Unused,$A’000
AQX,ALICE QUEEN LIMITED,1771208,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s60564t0khzq.pdf,Quarterly Activities and Cashflow Reports,42,$A’000,-,$A’000
OKJ,OAKAJEE CORPORATION LIMITED,1828921,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4p59hdszvhv.pdf,Quarterly Activities and Cashflow Report,"1,466",$A’000,-,$A’000
SAN,SAGALIO ENERGY LIMITED,1841941,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5gtcg3jvpjd.pdf,Quarterly Appendix 5B Cash Flow Report,,,,
AO1,ASSETOWL LIMITED,1947130,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5zh5tjzrrc4.pdf,Quarterly Report and Appendix 4C,48,$A’000,561,$A’000
NGS,NUTRITIONAL GROWTH SOLUTIONS LTD,2019689,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5g0hhm86jwr.pdf,Quarterly Activities and Cash Flow Report - June 2023,265,$US’000,-,$US’000
TTA,TTA HOLDINGS LIMITED,2061351,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s202wg91bmys.pdf,Jun23 Quarterly Activities Report and 4C,201,$A’000,-,$A’000
CYQ,CYCLIQ GROUP LTD,2085100,2023-07-17,https://announcements.asx.com.au/asxpdf/20230717/pdf/05rq2kpv9d6s0r.pdf,Appendix 4C Cash Flow Report,"1,108",,-,Amount
BGE,BRIDGE SAAS LIMITED,2156392,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rzlms95q94l7.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"1,886",$A’000,-,$A’000
PRM,PROMINENCE ENERGY LIMITED,2182156,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5f8p5sb2bp2.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,748,$A’000,2,$A’000
NNG,NEXION GROUP LTD,2225386,2023-07-30,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3sw3y6q548v.pdf,NNG Quarterly Activities Report and Appendix 4C Jun-23,364,$A’000,Unused,$A’000
ENV,ENOVA MINING LIMITED,2345576,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1pk6mlkftd2.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,42,$A’000,0,$A’000
M2M,MT MALCOLM MINES NL,2456244,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s46x9j8wp84v.pdf,Quarterly Activities and Cashflow Report,744,$A’000,-,$A’000
SMS,STAR MINERALS LIMITED,2506258,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1qfvmf79zt8.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,784,$A’000,-,$A’000
ICR,INTELICARE HOLDINGS LIMITED,2527415,2023-07-30,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3r85dbk6trl.pdf,Quarterly Appendix 4C Cash Flow Report,"1,891",$A’000,-,$A’000
JTL,JAYEX TECHNOLOGY LIMITED,2531507,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4fg0btf1js1.pdf,June 2023 Quarterly Update and Appendix 4C,94,$A’000,"1,947",$A’000
IVT,INVENTIS LIMITED,2590306,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5db68gkgjv0.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,942,$A’000,"9,472",$A’000
BP8,BPH GLOBAL LTD,2669460,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5c1yh6s9yp2.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,511,$A’000,-,$A’000
ZMM,ZIMI LIMITED,2787372,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2b24bdbl14x.pdf,Quarterly Activities Report and Appendix 4C,980,$A’000,431,$A’000
