Company name,Placement Date,Code,Placement price,Type
Retail Food Group Limited,2023-01-03,RFG,0.08,180
Matrix Composites and Engineering Limited,2023-01-03,MCE,0.28,180
CLUEY LTD,2023-01-03,CLU,0.15,market
MATRIX COMPOSITES & ENGINEERING LIMITED,2023-01-03,MCE,0.28,market
PEREGRINE GOLD LTD,2023-01-03,PGD,0.38,market
RETAIL FOOD GROUP LIMITED,2023-01-03,RFG,0.08,market
Payright Limited,2023-01-06,PYR,0.045,180
Vulcan Energy Resources Limited,2023-05-04,VUL,5.1,180
Sunshine Gold Limited,2023-05-03,SHN,0.015,180
Pancontinental Energy NL,2023-05-11,PCL,0.01,180
