key,name,cap,document_date,url,header,cash_flow,dollar_sign,average volume,EMA traded dollar amount,points
AHN,ATHENA RESOURCES LIMITED,7493273,2023-04-23T23:23:56+1000,https://announcements.asx.com.au/asxpdf/20230424/pdf/45nxlp965kzlv1.pdf,Quarterly Appendix 5B Cash Flow Report,1885225000.0,$A,8208567,87132.47000768405,6
HAS,HASTINGS TECHNOLOGY METALS LTD,155131982,2023-04-26T10:46:43+1000,https://announcements.asx.com.au/asxpdf/20230426/pdf/45p00zr096nhzw.pdf,Quarterly Cash Flow Report March 2023,145619000.0,$A,563802,862593.5600474038,11
WZR,WISR LIMITED,43581592,2023-04-28T09:59:25+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p41x89vrq8c4.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,79456000.0,$A,3203432,128954.19083968969,7
PNR,PANTORO LIMITED,199902158,2023-04-18T08:33:31+1000,https://announcements.asx.com.au/asxpdf/20230418/pdf/45nr7qtsdhgc3y.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,78755000.0,$A,4162550,266099.53212664893,9
ASM,AUSTRALIAN STRATEGIC MATERIALS LIMITED,174206962,2023-04-26T17:09:14+1000,https://announcements.asx.com.au/asxpdf/20230426/pdf/45p0gy9074yjfn.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,63095000.0,$A,384941,434701.62054823793,10
BET,BETMAKERS TECHNOLOGY GROUP LTD,136813532,2023-04-28T16:21:29+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p5862ttw214t.pdf,Appendix 4C,56164000.0,$A,2380886,319028.9660702966,9
IMA,IMAGE RESOURCES NL,102924038,2023-04-28T14:13:21+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p4sm7z98zgq7.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,55558000.0,$A,326256,34697.7449382645,5
JRV,JERVOIS GLOBAL LIMITED,149747045,2023-04-27T08:27:14+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p18qwn959lqt.pdf,Quarterly Activities Report and Cashflow to 31 March 2023,49837000.0,$US,16374162,1729530.1141085504,11
KIL,KILAND LTD,146253270,2023-04-28T14:16:40+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p4sydlg5b3pg.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,48603000.0,$A,94460,256618.74451261837,9
DRO,DRONESHIELD LIMITED,138163224,2023-04-26T09:16:17+1000,https://announcements.asx.com.au/asxpdf/20230426/pdf/45nzrzfgrbrksx.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,45894229.0,$A,1179712,285982.31221112073,9
GCY,GASCOYNE RESOURCES LIMITED,140322097,2023-04-27T10:58:59+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p1ynnz6qrlp8.pdf,Quarterly Activities Report and Appendix 5B,41085000.0,$A,2461292,297681.0610929883,9
AQS,AQUIS ENTERTAINMENT LIMITED,33325389,2023-04-28T08:59:50+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p3j53cngx71n.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,40276000.0,$A,53968,11728.877180226064,3
DUB,DUBBER CORPORATION LIMITED,41788949,2023-04-28T08:47:14+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p3dlfk7drhwj.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,40157000.0,$A,586758,106295.56809235421,7
EGR,ECOGRAF LIMITED,74305021,2023-04-28T18:13:19+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p5rg8q2nkf12.pdf,March 2023 Quarterly Activities Report and Appendix 5B,39519000.0,$A,568409,106633.65221385291,7
BUB,BUBS AUSTRALIA LIMITED,123973972,2023-04-28T09:32:02+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p3sxqvmhttjs.pdf,FY23 Q3 - Activity Report and Appendix 4C Cashflow Statement,39161000.0,$A,2006416,439838.6591254413,10
CYL,CATALYST METALS LIMITED,152106296,2023-04-28T18:59:33+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p5vxdzl97qtd.pdf,Quarterly Cash Flow Report,38055000.0,$A,69485,46843.24515922205,5
E25,ELEMENT 25 LIMITED,118085428,2023-04-11T09:55:08+1000,https://announcements.asx.com.au/asxpdf/20230411/pdf/45njmmqlhqpxhj.pdf,Quarterly Appendix 5B Cash Flow Report,37564000.0,$A,120245,71700.6405476953,6
IHL,INCANNEX HEALTHCARE LIMITED,182506191,2023-04-27T08:15:02+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p1578sm935j9.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,37141000.0,$A,1791531,275336.9923282562,9
KED,KEYPATH EDUCATION INTERNATIONAL INC.,87728162,2023-04-26T05:37:20+1000,https://announcements.asx.com.au/asxpdf/20230426/pdf/45nz9z7v6t2p14.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,36848000.0,$US,553498,279096.6167043466,9
LIS,LI-S ENERGY LIMITED,185658067,2023-04-26T07:45:22+1000,https://announcements.asx.com.au/asxpdf/20230426/pdf/45nzf8vtp4x54w.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,36321000.0,$A,159533,42684.77016477511,5
MAP,MICROBA LIFE SCIENCES LIMITED,103240942,2023-04-20T09:02:33+1000,https://announcements.asx.com.au/asxpdf/20230420/pdf/45ntxjcw09370c.pdf,Q3 FY23 Quarterly Activities Report & Appendix 4C,35397000.0,$A,60657,22321.870446103574,4
KRM,KINGSROSE MINING LIMITED,41388959,2023-04-28T09:50:00+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p3z9qw90cpfw.pdf,Quarterly Activities and Cashflow Report - March 2023,35258000.0,$A,1169995,57151.65055166597,5
QPM,QUEENSLAND PACIFIC METALS LIMITED,183366532,2023-04-27T23:17:35+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p2y3n46jlmwg.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,34554000.0,$A,2111426,220825.51534611368,8
PLY,PLAYSIDE STUDIOS LIMITED,158654624,2023-04-27T08:17:47+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p1vpk6bmn8z6.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,31186000.0,$A,147202,49129.89377654418,5
AKM,ASPIRE MINING LIMITED,31473493,2023-04-28T08:51:38+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p3fmm78jvz1d.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,29087000.0,$A,204184,9525.440955940696,2
TGA,THORN GROUP LIMITED,41716823,2023-04-28T12:26:26+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p4gp093hhllg.pdf,Correction to Quarterly Activities Report & Appendix 4C,28800000.0,$A,13102,14389.626877174573,3
PSC,PROSPECT RESOURCES LIMITED,46225946,2023-04-27T11:07:18+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p1z10gdmc5y2.pdf,Quarterly Activities and Cashflow Report March 2023,28452000.0,$A,565866,79280.71302632985,6
TSK,TASK GROUP HOLDINGS LIMITED,163314444,2023-04-24T07:34:32+1000,https://announcements.asx.com.au/asxpdf/20230424/pdf/45nxk1py8yq4y7.pdf,Q4 FY23 Appendix 4C,28345000.0,$NZD,197763,77630.57098619026,6
FDV,FRONTIER DIGITAL VENTURES LIMITED,145118205,2023-04-27T10:01:40+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p1ttgc3mbkvp.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,26763000.0,$A,600709,259051.58497904075,9
88E,88 ENERGY LIMITED,140755078,2023-04-26T08:23:32+1000,https://announcements.asx.com.au/asxpdf/20230426/pdf/45nzgl36t545th.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,26310000.0,$A,21353395,161437.33853913742,8
SFX,SHEFFIELD RESOURCES LIMITED,174720844,2023-04-26T21:34:38+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p0v5fn5hskw2.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,24979000.0,$A,168147,73467.56332338377,6
B4P,BEFOREPAY GROUP LIMITED,22077944,2023-04-27T07:31:15+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p10rh4wpkm3w.pdf,Q3FY23 Quarterly Activities and Appendix 4C Cash Flow Report,24969000.0,$A,9846,6233.462895736345,2
CHL,CAMPLIFY HOLDINGS LIMITED,152224069,2023-04-24T10:01:01+1000,https://announcements.asx.com.au/asxpdf/20230424/pdf/45ny0nvr5w2lvc.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,24935000.0,$A,35058,110969.81419928037,7
ACE,ACUSENSUS LIMITED.,83258984,2023-04-26T21:20:25+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p0txd34ct1w0.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,24606000.0,$A,15315,43259.55472108052,5
